# QIGOA reality-check | script=run_stats.py | experiment=main | data_source=brats | commit=a8a8ec698d101c26b034335bebe3e976c65f165e | generated=2026-07-23T03:44:29
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
family,target,include_zero_bg,k,decode_rule,method,reference,n_patients,mean_diff,ci90_low,ci90_high,delta_ach,equivalence_holds_for_any_sesoi_ge,placeholder,tost_p_delta0.01,tost_p_delta0.05
C-equivalence,wt_flair,false,4,brightest,WOA,DP-exact,368,0.0008005557430560341,-0.0005259635986426836,0.002127075084754752,0.002127075084754752,0.002127075084754752,0,2.065000558974423e-26,7.260918749188469e-195
C-equivalence,wt_flair,false,4,brightest,random,DP-exact,368,-0.0013337837091852644,-0.003341557073310581,0.0006739896549400519,0.003341557073310581,0.003341557073310581,0,2.9047823047080053e-12,4.594143713407622e-136
C-equivalence,wt_flair,true,4,brightest,GA,DP-exact,368,-0.00046317327793907783,-0.0033007534034825733,0.0023744068476044176,0.0033007534034825733,0.0033007534034825733,0,2.857074283749224e-08,1.8548814846998722e-96
C-equivalence,wt_flair,true,4,brightest,GOA,DP-exact,368,-0.0008379052433045817,-0.0038976447680677093,0.002221834281458546,0.0038976447680677093,0.0038976447680677093,0,6.008955142199114e-07,1.6115838492879318e-87
C-equivalence,wt_flair,true,4,brightest,GOA-fixed,DP-exact,368,-0.00017071888617113876,-0.0012809576879487866,0.0009395199156065091,0.0012809576879487866,0.0012809576879487866,0,1.1014477134953256e-38,5.619535509376212e-223
C-equivalence,wt_flair,true,4,brightest,GWO,DP-exact,368,0.0005784825062885885,0.00015205494342200717,0.0010049100691551698,0.0010049100691551698,0.0010049100691551698,0,2.9032057770042937e-124,0.0
C-equivalence,wt_flair,true,4,brightest,MPA,DP-exact,368,-0.0003031441357523302,-0.0018412530394408002,0.0012349647679361399,0.0018412530394408002,0.0018412530394408002,0,1.163419753197917e-22,4.1844080757585367e-175
C-equivalence,wt_flair,true,4,brightest,PSO,DP-exact,368,-0.0011794654415148158,-0.003018965490312702,0.0006600346072830703,0.003018965490312702,0.003018965490312702,0,1.5606588671056764e-14,5.106296545429487e-148
C-equivalence,wt_flair,true,4,brightest,QIGOA,DP-exact,368,-0.0009185075873066692,-0.0024040574367488877,0.0005670422621355495,0.0024040574367488877,0.0024040574367488877,0,1.4663106907651888e-21,2.91013493362191e-178
C-equivalence,wt_flair,true,4,brightest,WOA,DP-exact,368,0.00033123206996606565,-0.0004670046158067993,0.0011294687557389306,0.0011294687557389306,0.0011294687557389306,0,6.657468957583233e-61,1.2864791787069163e-272
C-equivalence,wt_flair,true,4,brightest,random,DP-exact,368,-0.0016884586335251812,-0.004012433165737573,0.0006355158986872109,0.004012433165737573,0.004012433165737573,0,4.187939574739761e-09,9.38726503982831e-117
